Timestamp,X,Y,Z
01-Feb-2025 18:26:58.005,-0.052534,0.076969,0.006109
01-Feb-2025 18:26:58.085,-0.117286,0.058643,0.023824
01-Feb-2025 18:26:58.165,-0.129503,0.07086,0.002443
01-Feb-2025 18:26:58.245,-0.088575,0.009774,-0.016493
01-Feb-2025 18:26:58.325,0.09896,-0.00672,0.003054
01-Feb-2025 18:26:58.405,-0.506407,0.120951,-0.108734
01-Feb-2025 18:26:58.485,-0.081856,0.065973,-0.011606
01-Feb-2025 18:26:58.565,0.265116,0.058643,-0.017715
01-Feb-2025 18:26:58.645,-0.12706,-0.036041,-0.029322
01-Feb-2025 18:26:58.725,-0.171042,0.038485,-0.087354
01-Feb-2025 18:26:58.805,-0.277333,-0.055589,-0.065973
01-Feb-2025 18:26:58.885,-0.179594,0.00733,-0.025045
01-Feb-2025 18:26:58.965,-0.39523,0.009163,-0.046426
01-Feb-2025 18:26:59.045,-0.382402,0.021991,0.025656
01-Feb-2025 18:26:59.125,-0.47281,-0.019548,0.023824
01-Feb-2025 18:26:59.205,-0.24007,-0.094684,0.019548
01-Feb-2025 18:26:59.285,-0.025045,-0.026267,0.012217
01-Feb-2025 18:26:59.365,-0.089797,0.04215,-0.009163
01-Feb-2025 18:26:59.446,0.237016,-0.05681,0.048869
01-Feb-2025 18:26:59.526,0.444099,-0.233961,0.003054
01-Feb-2025 18:26:59.606,0.812451,0.141721,0.008552
01-Feb-2025 18:26:59.686,0.558331,0.125227,0.080023
01-Feb-2025 18:26:59.766,0.220522,0.004887,0.097738
01-Feb-2025 18:26:59.846,0.167988,-0.00672,0.086132
01-Feb-2025 18:26:59.926,0.074526,-0.042761,0.09896
01-Feb-2025 18:27:00.006,0.606589,-0.122173,-0.065973
01-Feb-2025 18:27:00.086,0.591928,0.206472,0.093462
01-Feb-2025 18:27:00.166,0.298713,0.459982,-0.155771
01-Feb-2025 18:27:00.246,0.624304,0.44471,-0.119119
01-Feb-2025 18:27:00.326,0.31032,0.194255,-0.02138
